id,title,picture,author,year,language,description,pages,availability,issued,ISBN
16,Chanel,https://images-na.ssl-images-amazon.com/images/I/81jR3z7fycL.jpg,"Danièle Bott",2005,en,"Chanel's combination of tradition, originality and style has always made it the most seductive of brands. Here the House of Chanel opens its private archives, revealing a galaxy of brilliant designs created by Coco Chanel from the 1920s onwards, and now reinterpreted to become the motifs for brand new garments, accessories and beauty products.

Inspired by the House's signature fragrance, the legendary ‘Chanel No 5’, the book explores five central themes – the suit, the camellia, jewelry, fragrances and make-up, and the little black dress – and follows the threads from past to present to show how these key items have been rediscovered and reinvented by fashion designers working in the footsteps of their illustrious predecessors. This visual journey is enhanced by previously unpublished archive photographs and original drawings by Karl Lagerfeld, as well as glorious images from some of the greatest names in fashion photography.",2,0,0,9780500513606
17,"Louis Vuitton: The Birth of Modern Luxury",https://images-na.ssl-images-amazon.com/images/I/91o0uwYEUWL.jpg,"Paul-Gérard Pasols",2005,en,"When Louis Vuitton: The Birth of Modern Luxury was published in 2004, the book was the first to describe the dramatic rise of the world’s finest luxury company. Written with full access to the company’s archives, it demonstrates Louis Vuitton’s passion for fine design with a stunning array of archival art, product designs, and cutting-edge advertising. The company is examined through the lives of its first three leaders—founder Louis (who invented the modern trunk), his son Georges, and his grandson Gaston.",1,0,0,9781419705564
18,"A Man & His Watch: Iconic Watches and Stories from the Men",https://market.su-wan.com/wp-content/uploads/sites/7/2021/09/71lQtgS1S4L.jpg,"Matt Hranek",2017,en,"Paul Newman wore his Rolex Daytona every single day for 35 years until his death in 2008. The iconic timepiece, probably the single most sought-after watch in the world, is now in the possession of his daughter Clea, who wears it every day in his memory. Franklin Roosevelt wore an elegant gold Tiffany watch, gifted to him by a friend on his birthday, to the famous Yalta Conference where he shook the hands of Joseph Stalin and Winston Churchill. JFK’s Omega worn to his presidential inauguration, Ralph Lauren’s watch purchased from Andy Warhol’s personal collection, Sir Edmund Hillary’s Rolex worn during the first-ever summit of Mt. Everest . . . these and many more compose the stories of the world’s most coveted watches captured in A Man and His Watch.",3,1,0,9781579657147
19,"Cracking the Coding Interview: 189 Programming Questions and Solutions 6th Edition",https://www.ubuy.com.lk/productimg/?image=aHR0cHM6Ly9pbWFnZXMtbmEuc3NsLWltYWdlcy1hbWF6b24uY29tL2ltYWdlcy9JLzQxb1lzWGpMdlpMLl9TUzQwMF8uanBn.jpg,"Gayle Laakmann McDowell",2020,en,"Available at a lower price from other sellers that may not offer free Prime shipping.
I am not a recruiter. I am a software engineer. And as such, I know what it's like to be asked to whip up brilliant algorithms on the spot and then write flawless code on a whiteboard. I've been through this as a candidate and as an interviewer.

Cracking the Coding Interview, 6th Edition is here to help you through this process, teaching you what you need to know and enabling you to perform at your very best. I've coached and interviewed hundreds of software engineers. The result is this book.",1,0,0,9780984782857
20,"Stock Trader's Almanac 2022 (Almanac Investor Series) 17th Edition",https://target.scene7.com/is/image/Target/GUEST_89bc0a24-25b5-42b1-8c95-5a7e88636159?wid=488&hei=488&fmt=pjpeg,"Jeffrey A. Hirsch",2021,en,"Created by Yale Hirsch in 1967,  the Stock Trader's Almanac has delivered money-making insights and strategies to investors for more than six decades. The Almanac originated such important market phenomena as the ""January Barometer"" and the ""Santa Claus Rally"" and was instrumental in popularizing other tradable strategies, such as ""The Best Six Months Strategy"" (commonly known as ""Sell in May and Go Away"") and the four-year Presidential Election Cycle.",1,1,0,9781119845911
21,"The Christmas Pig","https://images-na.ssl-images-amazon.com/images/I/51rg5EDPpDL._SX336_BO1,204,203,200_.jpg","J. K. Rowling",2021,en,"Jack loves his childhood toy, Dur Pig. DP has always been there for him, through good and bad. Until one Christmas Eve something terrible happens -- DP is lost. But Christmas Eve is a night for miracles and lost causes, a night when all things can come to life... even toys. And Jack’s newest toy -- the Christmas Pig (DP’s replacement) -- has a daring plan: Together they’ll embark on a magical journey to seek something lost, and to save the best friend Jack has ever known...",4,1,0,9781444964912.
22,"The Pioneer Woman Cooks―Super Easy!: 120 Shortcut Recipes for Dinners, Desserts, and More",https://images-na.ssl-images-amazon.com/images/I/815lWq3j-tS.jpg,"Ree Drummond",2020,en,"Between my family, my website, my cookbooks, and my TV show, I make a lot of food around here! And as much as I’ve always loved cooking (and of course, eating!), it seems that more and more these days, I’m looking for ways to simplify my life in the kitchen. I find myself gravitating toward recipes that are delicious but don’t require a lot of prep or fuss, because they free me up to have more time (and energy) for other areas of my life. This also makes cooking less of a chore and more of a pleasure—exactly what cooking should be!",1,0,0,9780062962768
23,MOX,https://d28hgpri8am2if.cloudfront.net/book_images/onix/cvr9781637580387/mox-9781637580387_hr.jpg,"Jon Moxley",2021,en,"Ride alongside Jon Moxley as he retraces some of the highways traveled on his remarkable journey. Revel in the never-before-told stories about his early life in Cincinnati, Ohio; the gritty independent wrestling scene where he cut his teeth; the complicated corporate landscape of the WWE where he bucked against authority; and the rebellious upstart AEW, where he won the championship in 2020 and was finally free to achieve the vision of the wrestler he’d always wanted to be.",2,1,0,9781637580387
24,"Cat Kid Comic Club: Perspectives",https://images-na.ssl-images-amazon.com/images/I/81vdWnFQUYL.jpg,"Dav Pilkey",2021,en,"Flippy, Molly, Li'l Petey, and twenty-one baby frogs each have something to say. Naomi and Melvin don't see eye to eye and Poppy perceives the world differently than her siblings. Will the baby frogs figure out how to work together and appreciate one another's point of view -- both inside and outside the classroom?",3,1,0,9781338784862
25,"Baking with Dorie: Sweet, Salty & Simple",https://images-na.ssl-images-amazon.com/images/I/A1MQi99zIDL.jpg,"Dorie Greenspan",2021,en,"Say “Dorie Greenspan” and think baking. The renowned author of thirteen cookbooks and winner of five James Beard and two IACP awards offers a collection that celebrates the sweet, the savory, and the simple. Every recipe is signature Dorie: easy—beginners can ace every technique in this book—and accessible, made with everyday ingredients. Are there surprises? Of course! You’ll find ingenious twists like Berry Biscuits. Footlong cheese sticks made with cream puff dough. Apple pie with browned butter spiced like warm mulled cider. A s’mores ice cream cake with velvety chocolate sauce, salty peanuts, and toasted marshmallows. It’s a book of simple yet sophisticated baking. The chapters are classic: Breakfast Stuff • Cakes • Cookies • Pies, Tarts, Cobblers and Crisps • Two Perfect Little Pastries • Salty Side Up. The recipes are unexpected. And there are “Sweethearts” throughout, mini collections of Dorie’s all-time favorites. Don’t miss the meringue Little Marvels or the Double-Decker Caramel Cake. Like all of Dorie’s recipes, they lend themselves to being remade, refashioned, and riffed on.",2,1,0,9780358223580
26,"Big Shot Diary of a Wimpy Kid",https://m.media-amazon.com/images/P/B08XY2XLFK.01._SCLZZZZZZZ_SX500_.jpg,"Jeff Kinney",2021,en,"After a disastrous field day competition at school, Greg decides that when it comes to his athletic career, he’s officially retired. But after his mom urges him to give sports one more chance, he reluctantly agrees to sign up for basketball.

Tryouts are a mess, and Greg is sure he won’t make the cut. But he unexpectedly lands a spot on the worst team.

As Greg and his new teammates start the season, their chances of winning even a single game look slim. But in sports, anything can happen. When everything is on the line and the ball is in Greg’s hands, will he rise to the occasion? Or will he blow his big shot?",3,1,0,9781419749155
